timestamp,own_speed_knots,own_heading_deg,own_x,own_y,target_speed_knots,target_heading_deg,target_x,target_y,torpedo_speed_knots,torpedo_heading_deg,torpedo_x,torpedo_y
2026-04-03 01:21:58,15.718,22.998,3.159,7.443,10.256,62.738,2445.539,-2389.677,0.000,0.000,0.000,0.000
2026-04-03 01:21:59,15.718,22.998,6.318,14.887,10.256,62.755,2450.230,-2387.261,0.000,0.000,0.000,0.000
2026-04-03 01:22:00,15.718,22.998,9.478,22.330,10.256,62.771,2454.921,-2384.847,0.000,0.000,0.000,0.000
2026-04-03 01:22:01,15.718,22.998,12.637,29.773,10.256,62.787,2459.614,-2382.434,0.000,0.000,0.000,0.000
2026-04-03 01:22:02,15.718,22.998,15.796,37.217,10.256,62.803,2464.306,-2380.023,0.000,0.000,0.000,0.000
2026-04-03 01:22:03,15.718,22.998,18.955,44.660,10.256,62.818,2469.000,-2377.613,0.000,0.000,0.000,0.000
2026-04-03 01:22:04,15.718,22.998,22.115,52.103,10.256,62.834,2473.694,-2375.204,0.000,0.000,0.000,0.000
2026-04-03 01:22:05,15.718,22.998,25.274,59.546,10.256,62.849,2478.389,-2372.796,0.000,0.000,0.000,0.000
2026-04-03 01:22:06,15.718,22.998,28.433,66.990,10.256,62.863,2483.084,-2370.389,0.000,0.000,0.000,0.000
2026-04-03 01:22:07,15.718,22.998,31.592,74.433,10.256,62.877,2487.780,-2367.984,0.000,0.000,0.000,0.000
2026-04-03 01:22:08,15.718,22.998,34.751,81.876,10.256,62.892,2492.477,-2365.580,0.000,0.000,0.000,0.000
2026-04-03 01:22:09,15.718,22.998,37.911,89.320,10.256,62.905,2497.174,-2363.177,0.000,0.000,0.000,0.000
2026-04-03 01:22:10,15.718,22.998,41.070,96.763,10.256,62.919,2501.872,-2360.775,0.000,0.000,0.000,0.000
2026-04-03 01:22:11,15.718,22.998,44.229,104.206,10.256,62.932,2506.570,-2358.374,0.000,0.000,0.000,0.000
2026-04-03 01:22:12,15.718,22.998,47.388,111.650,10.256,62.944,2511.269,-2355.974,0.000,0.000,0.000,0.000
2026-04-03 01:22:13,15.718,22.998,50.548,119.093,10.256,62.957,2515.968,-2353.575,0.000,0.000,0.000,0.000
2026-04-03 01:22:14,15.718,22.998,53.707,126.536,10.256,62.969,2520.668,-2351.177,0.000,0.000,0.000,0.000
2026-04-03 01:22:15,15.718,22.998,56.866,133.980,10.256,62.981,2525.368,-2348.780,0.000,0.000,0.000,0.000
2026-04-03 01:22:16,15.718,22.998,60.025,141.423,10.256,62.992,2530.069,-2346.384,0.000,0.000,0.000,0.000
