timestamp,own_speed_knots,own_heading_deg,target_speed_knots,target_heading_deg,torpedo_speed_knots,torpedo_heading_deg
2026-03-27 18:35:58,0.000,0.000,8.640,141.599,0.000,0.000
2026-03-27 18:35:59,0.000,0.000,8.640,141.599,0.000,0.000
2026-03-27 18:36:00,0.000,0.000,8.640,141.599,0.000,0.000
2026-03-27 18:36:01,0.000,0.000,8.640,141.599,0.000,0.000
2026-03-27 18:36:02,0.000,0.000,8.640,141.599,0.000,0.000
2026-03-27 18:36:03,0.000,0.000,8.640,141.599,0.000,0.000
2026-03-27 18:36:04,0.000,0.000,8.640,141.599,0.000,0.000
2026-03-27 18:36:05,0.000,0.000,8.640,141.599,0.000,0.000
2026-03-27 18:36:06,0.000,0.000,8.640,141.599,0.000,0.000
2026-03-27 18:36:07,0.000,0.000,8.640,141.599,0.000,0.000
2026-03-27 18:36:08,0.000,0.000,8.640,141.599,42.000,61.105
2026-03-27 18:36:09,0.000,0.000,8.640,141.599,42.000,61.174
2026-03-27 18:36:10,0.000,0.000,8.640,141.599,42.000,61.243
2026-03-27 18:36:11,0.000,0.000,8.640,141.599,42.000,61.312
2026-03-27 18:36:12,0.000,0.000,8.640,141.599,42.000,61.382
2026-03-27 18:36:13,0.000,0.000,8.640,141.599,42.000,61.452
2026-03-27 18:36:14,0.000,0.000,8.640,141.599,42.000,61.522
2026-03-27 18:36:15,0.000,0.000,8.640,141.599,42.000,61.593
2026-03-27 18:36:16,0.000,0.000,8.640,141.599,42.000,61.664
2026-03-27 18:36:17,0.000,0.000,8.640,141.599,42.000,61.736
2026-03-27 18:36:18,0.000,0.000,8.640,141.599,42.000,61.808
2026-03-27 18:36:19,0.000,0.000,8.640,141.599,42.000,61.880
2026-03-27 18:36:20,0.000,0.000,8.640,141.599,42.000,61.953
2026-03-27 18:36:21,0.000,0.000,8.640,141.599,42.000,62.026
2026-03-27 18:36:22,0.000,0.000,8.640,141.599,42.000,62.100
2026-03-27 18:36:23,0.000,0.000,8.640,141.599,42.000,62.174
2026-03-27 18:36:24,0.000,0.000,8.640,141.599,42.000,62.249
2026-03-27 18:36:25,0.000,0.000,8.640,141.599,42.000,62.324
2026-03-27 18:36:26,0.000,0.000,8.640,141.599,42.000,62.399
2026-03-27 18:36:27,0.000,0.000,8.640,141.599,42.000,62.475
2026-03-27 18:36:28,0.000,0.000,8.640,141.599,42.000,62.552
2026-03-27 18:36:29,0.000,0.000,8.640,141.599,42.000,62.629
2026-03-27 18:36:30,0.000,0.000,8.640,141.599,42.000,62.706
2026-03-27 18:36:31,0.000,0.000,8.640,141.599,42.000,62.784
2026-03-27 18:36:32,0.000,0.000,8.640,141.599,42.000,62.862
2026-03-27 18:36:33,0.000,0.000,8.640,141.599,42.000,62.941
2026-03-27 18:36:34,0.000,0.000,8.640,141.599,42.000,63.020
2026-03-27 18:36:35,0.000,0.000,8.640,141.599,42.000,63.100
2026-03-27 18:36:36,0.000,0.000,8.640,141.599,42.000,63.180
2026-03-27 18:36:37,0.000,0.000,8.640,141.599,42.000,63.261
2026-03-27 18:36:38,0.000,0.000,8.640,141.599,42.000,63.343
2026-03-27 18:36:39,0.000,0.000,8.640,141.599,42.000,63.424
2026-03-27 18:36:40,0.000,0.000,8.640,141.599,42.000,63.507
2026-03-27 18:36:41,0.000,0.000,8.640,141.599,42.000,63.590
2026-03-27 18:36:42,0.000,0.000,8.640,141.599,42.000,63.673
2026-03-27 18:36:43,0.000,0.000,8.640,141.599,42.000,63.757
2026-03-27 18:36:44,0.000,0.000,8.640,141.599,42.000,63.842
2026-03-27 18:36:45,0.000,0.000,8.640,141.599,42.000,63.927
2026-03-27 18:36:46,0.000,0.000,8.640,141.599,42.000,64.013
2026-03-27 18:36:47,0.000,0.000,8.640,141.599,42.000,64.099
2026-03-27 18:36:48,0.000,0.000,8.640,141.599,42.000,64.186
2026-03-27 18:36:49,0.000,0.000,8.640,141.599,42.000,64.274
2026-03-27 18:36:50,0.000,0.000,8.640,141.599,42.000,64.362
2026-03-27 18:36:51,0.000,0.000,8.640,141.599,42.000,64.451
2026-03-27 18:36:52,0.000,0.000,8.640,141.599,42.000,64.540
2026-03-27 18:36:53,0.000,0.000,8.640,141.599,42.000,64.630
2026-03-27 18:36:54,0.000,0.000,8.640,141.599,42.000,64.721
2026-03-27 18:36:55,0.000,0.000,8.640,141.599,42.000,64.813
2026-03-27 18:36:56,0.000,0.000,8.640,141.599,42.000,64.905
2026-03-27 18:36:57,0.000,0.000,8.640,141.599,42.000,64.997
2026-03-27 18:36:58,0.000,0.000,8.640,141.599,42.000,65.091
2026-03-27 18:36:59,0.000,0.000,8.640,141.599,42.000,65.185
2026-03-27 18:37:00,0.000,0.000,8.640,141.599,42.000,65.280
2026-03-27 18:37:01,0.000,0.000,8.640,141.599,42.000,65.375
2026-03-27 18:37:02,0.000,0.000,8.640,141.599,42.000,65.471
2026-03-27 18:37:03,0.000,0.000,8.640,141.599,42.000,65.568
2026-03-27 18:37:04,0.000,0.000,8.640,141.599,42.000,65.666
2026-03-27 18:37:05,0.000,0.000,8.640,141.599,42.000,65.764
2026-03-27 18:37:06,0.000,0.000,8.640,141.599,42.000,65.864
2026-03-27 18:37:07,0.000,0.000,8.640,141.599,42.000,65.964
2026-03-27 18:37:08,0.000,0.000,8.640,141.599,42.000,66.064
2026-03-27 18:37:09,0.000,0.000,8.640,141.599,42.000,66.166
2026-03-27 18:37:10,0.000,0.000,8.640,141.599,42.000,66.268
2026-03-27 18:37:11,0.000,0.000,8.640,141.599,42.000,66.372
2026-03-27 18:37:12,0.000,0.000,8.640,141.599,42.000,66.476
2026-03-27 18:37:13,0.000,0.000,8.640,141.599,42.000,66.581
2026-03-27 18:37:14,0.000,0.000,8.640,141.599,42.000,66.687
2026-03-27 18:37:15,0.000,0.000,8.640,141.599,42.000,66.793
2026-03-27 18:37:16,0.000,0.000,8.640,141.599,42.000,66.901
2026-03-27 18:37:17,0.000,0.000,8.640,141.599,42.000,67.010
2026-03-27 18:37:18,0.000,0.000,8.640,141.599,42.000,67.119
2026-03-27 18:37:19,0.000,0.000,8.640,141.599,42.000,67.229
2026-03-27 18:37:20,0.000,0.000,8.640,141.599,42.000,67.341
2026-03-27 18:37:21,0.000,0.000,8.640,141.599,42.000,67.453
2026-03-27 18:37:22,0.000,0.000,8.640,141.599,42.000,67.566
2026-03-27 18:37:23,0.000,0.000,8.640,141.599,42.000,67.681
2026-03-27 18:37:24,0.000,0.000,8.640,141.599,42.000,67.796
2026-03-27 18:37:25,0.000,0.000,8.640,141.599,42.000,67.913
2026-03-27 18:37:26,0.000,0.000,8.640,141.599,42.000,68.030
2026-03-27 18:37:27,0.000,0.000,8.640,141.599,42.000,68.149
2026-03-27 18:37:28,0.000,0.000,8.640,141.599,42.000,68.269
2026-03-27 18:37:29,0.000,0.000,8.640,141.599,42.000,68.389
2026-03-27 18:37:30,0.000,0.000,8.640,141.599,42.000,68.511
2026-03-27 18:37:31,0.000,0.000,8.640,141.599,42.000,68.635
2026-03-27 18:37:32,0.000,0.000,8.640,141.599,42.000,68.759
2026-03-27 18:37:33,0.000,0.000,8.640,141.599,42.000,68.885
2026-03-27 18:37:34,0.000,0.000,8.640,141.599,42.000,69.011
2026-03-27 18:37:35,0.000,0.000,8.640,141.599,42.000,69.139
2026-03-27 18:37:36,0.000,0.000,8.640,141.599,42.000,69.269
2026-03-27 18:37:37,0.000,0.000,8.640,141.599,42.000,69.400
2026-03-27 18:37:38,0.000,0.000,8.640,141.599,42.000,69.532
2026-03-27 18:37:39,0.000,0.000,8.640,141.599,42.000,69.665
2026-03-27 18:37:40,0.000,0.000,8.640,141.599,42.000,69.800
2026-03-27 18:37:41,0.000,0.000,8.640,141.599,42.000,69.936
2026-03-27 18:37:42,0.000,0.000,8.640,141.599,42.000,70.074
2026-03-27 18:37:43,0.000,0.000,8.640,141.599,42.000,70.213
2026-03-27 18:37:44,0.000,0.000,8.640,141.599,42.000,70.354
2026-03-27 18:37:45,0.000,0.000,8.640,141.599,42.000,70.496
2026-03-27 18:37:46,0.000,0.000,8.640,141.599,42.000,70.640
2026-03-27 18:37:47,0.000,0.000,8.640,141.599,42.000,70.785
2026-03-27 18:37:48,0.000,0.000,8.640,141.599,42.000,70.933
2026-03-27 18:37:49,0.000,0.000,8.640,141.599,42.000,71.082
2026-03-27 18:37:50,0.000,0.000,8.640,141.599,42.000,71.232
2026-03-27 18:37:51,0.000,0.000,8.640,141.599,42.000,71.385
2026-03-27 18:37:52,0.000,0.000,8.640,141.599,42.000,71.539
2026-03-27 18:37:53,0.000,0.000,8.640,141.599,42.000,71.695
2026-03-27 18:37:54,0.000,0.000,8.640,141.599,42.000,71.853
2026-03-27 18:37:55,0.000,0.000,8.640,141.599,42.000,72.013
2026-03-27 18:37:56,0.000,0.000,8.640,141.599,42.000,72.175
2026-03-27 18:37:57,0.000,0.000,8.640,141.599,42.000,72.339
2026-03-27 18:37:58,0.000,0.000,8.640,141.599,42.000,72.505
2026-03-27 18:37:59,0.000,0.000,8.640,141.599,42.000,72.673
2026-03-27 18:38:00,0.000,0.000,8.640,141.599,42.000,72.844
2026-03-27 18:38:01,0.000,0.000,8.640,141.599,42.000,73.017
2026-03-27 18:38:02,0.000,0.000,8.640,141.599,42.000,73.192
2026-03-27 18:38:03,0.000,0.000,8.640,141.599,42.000,73.369
2026-03-27 18:38:04,0.000,0.000,8.640,141.599,42.000,73.549
2026-03-27 18:38:05,0.000,0.000,8.640,141.599,42.000,73.732
2026-03-27 18:38:06,0.000,0.000,8.640,141.599,42.000,73.917
2026-03-27 18:38:07,0.000,0.000,8.640,141.599,42.000,74.105
2026-03-27 18:38:08,0.000,0.000,8.640,141.599,42.000,74.296
2026-03-27 18:38:09,0.000,0.000,8.640,141.599,42.000,74.489
2026-03-27 18:38:10,0.000,0.000,8.640,141.599,42.000,74.686
2026-03-27 18:38:11,0.000,0.000,8.640,141.599,42.000,74.885
2026-03-27 18:38:12,0.000,0.000,8.640,141.599,42.000,75.088
2026-03-27 18:38:13,0.000,0.000,8.640,141.599,42.000,75.294
2026-03-27 18:38:14,0.000,0.000,8.640,141.599,42.000,75.503
2026-03-27 18:38:15,0.000,0.000,8.640,141.599,42.000,75.715
2026-03-27 18:38:16,0.000,0.000,8.640,141.599,42.000,75.932
2026-03-27 18:38:17,0.000,0.000,8.640,141.599,42.000,76.151
2026-03-27 18:38:18,0.000,0.000,8.640,141.599,42.000,76.375
2026-03-27 18:38:19,0.000,0.000,8.640,141.599,42.000,76.603
2026-03-27 18:38:20,0.000,0.000,8.640,141.599,42.000,76.834
2026-03-27 18:38:21,0.000,0.000,8.640,141.599,42.000,77.070
2026-03-27 18:38:22,0.000,0.000,8.640,141.599,42.000,77.310
2026-03-27 18:38:23,0.000,0.000,8.640,141.599,42.000,77.555
2026-03-27 18:38:24,0.000,0.000,8.640,141.599,42.000,77.805
2026-03-27 18:38:25,0.000,0.000,8.640,141.599,42.000,78.059
2026-03-27 18:38:26,0.000,0.000,8.640,141.599,42.000,78.319
2026-03-27 18:38:27,0.000,0.000,8.640,141.599,42.000,78.584
2026-03-27 18:38:28,0.000,0.000,8.640,141.599,42.000,78.854
2026-03-27 18:38:29,0.000,0.000,8.640,141.599,42.000,79.130
2026-03-27 18:38:30,0.000,0.000,8.640,141.599,42.000,79.413
2026-03-27 18:38:31,0.000,0.000,8.640,141.599,42.000,79.701
2026-03-27 18:38:32,0.000,0.000,8.640,141.599,42.000,79.996
2026-03-27 18:38:33,0.000,0.000,8.640,141.599,42.000,80.299
2026-03-27 18:38:34,0.000,0.000,8.640,141.599,42.000,80.608
2026-03-27 18:38:35,0.000,0.000,8.640,141.599,42.000,80.925
2026-03-27 18:38:36,0.000,0.000,8.640,141.599,42.000,81.250
2026-03-27 18:38:37,0.000,0.000,8.640,141.599,42.000,81.583
2026-03-27 18:38:38,0.000,0.000,8.640,141.599,42.000,81.926
2026-03-27 18:38:39,0.000,0.000,8.640,141.599,42.000,82.277
2026-03-27 18:38:40,0.000,0.000,8.640,141.599,42.000,82.639
2026-03-27 18:38:41,0.000,0.000,8.640,141.599,42.000,83.011
2026-03-27 18:38:42,0.000,0.000,8.640,141.599,42.000,83.394
2026-03-27 18:38:43,0.000,0.000,8.640,141.599,42.000,83.789
2026-03-27 18:38:44,0.000,0.000,8.640,141.599,42.000,84.197
2026-03-27 18:38:45,0.000,0.000,8.640,141.599,42.000,84.618
2026-03-27 18:38:46,0.000,0.000,8.640,141.599,42.000,85.053
2026-03-27 18:38:47,0.000,0.000,8.640,141.599,42.000,85.504
2026-03-27 18:38:48,0.000,0.000,8.640,141.599,42.000,85.972
2026-03-27 18:38:49,0.000,0.000,8.640,141.599,42.000,86.457
2026-03-27 18:38:50,0.000,0.000,8.640,141.599,42.000,86.962
2026-03-27 18:38:51,0.000,0.000,8.640,141.599,42.000,87.488
2026-03-27 18:38:52,0.000,0.000,8.640,141.599,42.000,88.037
2026-03-27 18:38:53,0.000,0.000,8.640,141.599,42.000,88.611
2026-03-27 18:38:54,0.000,0.000,8.640,141.599,42.000,89.212
2026-03-27 18:38:55,0.000,0.000,8.640,141.599,42.000,89.844
2026-03-27 18:38:56,0.000,0.000,8.640,141.599,42.000,90.510
2026-03-27 18:38:57,0.000,0.000,8.640,141.599,42.000,91.214
2026-03-27 18:38:58,0.000,0.000,8.640,141.599,42.000,91.960
